Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2021-05-23,10% Himalayan Bank Debenture 2083,HBLD83,1,1046.0,1046.0,1046.0,50.0,52300.0,1050.0,-4.0,Corporate Debenture
2021-05-23,10% Prabhu Bank Debenture 2084,PBLD84,2,1050.0,1050.0,1050.0,80.0,84000.0,1047.0,3.0,Corporate Debenture
2021-05-23,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,1,1045.0,1045.0,1045.0,25.0,26125.0,1050.0,-5.0,Corporate Debenture
2021-05-23,10.25% KBL Debenture 2086,KBLD86,1,1050.0,1050.0,1050.0,25.0,26250.0,1050.0,0.0,Corporate Debenture
2021-05-23,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,2,1060.0,1055.0,1055.0,100.0,105750.0,1060.0,-5.0,Corporate Debenture
2021-05-23,10.25% NBBL Debenture 2085,NBBD2085,1,1060.0,1060.0,1060.0,25.0,26500.0,1060.0,0.0,Corporate Debenture
2021-05-23,10.25% Prabhu Bank Debenture 2086,PBLD86,1,1051.0,1051.0,1051.0,50.0,52550.0,1051.0,0.0,Corporate Debenture
2021-05-23,10.25% Sunrise Bank Debenture 2083,SRBLD83,4,1050.0,1045.0,1050.0,1000.0,1046500.0,1043.0,7.0,Corporate Debenture
2021-05-23,10.35% Agricultural Bank Debenture 2083,ADBLD83,9,1069.0,1056.0,1056.0,600.0,638050.0,1060.0,-4.0,Corporate Debenture
2021-05-23,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,1,1118.0,1118.0,1118.0,40.0,44720.0,1140.0,-22.0,Corporate Debenture
2021-05-23,10.50% SBL Debenture 2082,SBLD2082,1,1048.0,1048.0,1048.0,25.0,26200.0,1053.0,-5.0,Corporate Debenture
2021-05-23,11% NIC Asia Debenture 082/83,NICAD8283,1,1111.0,1111.0,1111.0,25.0,27775.0,1124.0,-13.0,Corporate Debenture
2021-05-23,12% ICFC Finance Limited Debenture 2083,ICFCD83,4,1200.0,1180.0,1200.0,175.0,209500.0,1199.0,1.0,Corporate Debenture
2021-05-23,9% NIC Asia Debenture 2081/82,,2,1020.0,1015.0,1020.0,50.0,50875.0,1010.0,10.0,
2021-05-23,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,4,1015.0,1015.0,1015.0,530.0,537950.0,1010.0,5.0,Corporate Debenture
2021-05-23,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,193,1790.0,1710.0,1760.0,11244.0,19793606.0,1799.0,-39.0,Microfinance
2021-05-23,Agriculture Development Bank Limited,ADBL,632,445.0,428.0,445.0,95466.0,41881247.0,437.0,8.0,Commercial Banks
2021-05-23,Ajod Insurance Limited,AIL,353,870.0,831.0,865.0,15149.0,13027492.0,862.0,3.0,Non Life Insurance
2021-05-23,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,439,228.0,211.0,225.0,44088.0,9687263.0,218.0,7.0,Hydro Power
2021-05-23,Api Power Company Ltd.,API,1363,330.0,314.0,325.0,320245.0,103205448.0,323.0,2.0,Hydro Power
2021-05-23,Arun Kabeli Power Ltd.,AKPL,1191,391.0,361.0,389.0,397528.0,152757399.0,378.0,11.0,Hydro Power
2021-05-23,Arun Valley Hydropower Development Co. Ltd.,AHPC,1783,400.0,359.0,400.0,542953.0,207231186.0,380.0,20.0,Hydro Power
2021-05-23,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,131,1880.0,1833.0,1870.0,12961.0,24223994.0,1870.0,0.0,Microfinance
2021-05-23,Asian Life Insurance Co. Limited,ALICL,373,1382.0,1315.0,1370.0,57379.0,78014358.0,1362.0,8.0,Life Insurance
2021-05-23,Bank of Kathmandu Ltd.,BOKL,1906,354.0,337.0,353.0,413005.0,144152288.0,351.0,2.0,Commercial Banks
2021-05-23,Barun Hydropower Co. Ltd.,BARUN,722,402.0,352.0,402.0,145274.0,56422506.0,366.0,36.0,Hydro Power
2021-05-23,Best Finance Company Ltd.,BFC,1324,290.0,245.0,290.0,223274.0,62019154.0,264.0,26.0,Finance
2021-05-23,Bishal Bazar Company Limited,BBC,264,7333.0,6860.0,7100.0,4809.0,33676943.0,7112.0,-12.0,Tradings
2021-05-23,Bottlers Nepal (Terai) Limited,BNT,24,11250.0,10496.0,11140.0,445.0,4938070.0,10710.0,430.0,Manufacturing And Processing
2021-05-23,Butwal Power Company Limited,BPCL,795,461.0,437.0,456.0,111064.0,50586968.0,457.0,-1.0,Hydro Power
2021-05-23,Central Finance Co. Ltd.,CFCL,912,315.0,276.0,315.0,261893.0,78878789.0,287.0,28.0,Finance
2021-05-23,Century Commercial Bank Ltd.,CCBL,1302,275.0,255.0,275.0,355986.0,95897148.0,268.0,7.0,Commercial Banks
2021-05-23,Chandragiri Hills Limited,CGH,547,1848.0,1795.0,1845.0,16148.0,29438480.0,1820.0,25.0,Others
2021-05-23,Chhimek Laghubitta Bikas Bank Limited,CBBL,643,1818.0,1761.0,1800.0,43243.0,78100576.0,1810.0,-10.0,Microfinance
2021-05-23,Chhyangdi Hydropower Ltd.,CHL,244,375.0,351.0,372.0,30659.0,11287665.0,361.0,11.0,Hydro Power
2021-05-23,Chilime Hydropower Company Limited,CHCL,691,699.0,668.0,690.0,165404.0,113706927.0,684.0,6.0,Hydro Power
2021-05-23,Citizen Bank International Limited,CZBIL,1275,341.0,319.0,340.0,291651.0,97308214.0,328.0,12.0,Commercial Banks
2021-05-23,Citizen Investment Trust,,657,4161.0,3960.0,4090.0,21711.0,88705014.0,4121.0,-31.0,
2021-05-23,Citizens Mutual Fund -1,CMF1,33,11.15,10.91,11.1,68700.0,760997.0,11.03,0.07,Mutual Fund
2021-05-23,CITIZENS MUTUAL FUND 2,CMF2,34,11.6,11.38,11.6,56754.0,656711.52,11.49,0.11,Mutual Fund
2021-05-23,Civil Bank Ltd,CBL,2267,272.0,255.0,272.0,678308.0,181050034.0,267.0,5.0,Commercial Banks
2021-05-23,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,211,1560.0,1503.0,1560.0,19080.0,29298945.0,1560.0,0.0,Microfinance
2021-05-23,Corporate Development Bank Limited,CORBL,149,752.0,700.0,742.0,10710.0,7870070.0,724.0,18.0,Development Banks
2021-05-23,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,485,1816.0,1776.0,1803.0,29230.0,52626230.0,1808.0,-5.0,Microfinance
2021-05-23,Dibyashwori Hydropower Ltd.,DHPL,458,221.0,203.0,219.0,82259.0,17611622.0,214.0,5.0,Hydro Power
2021-05-23,Everest Bank Limited,EBL,578,765.0,728.0,758.0,99053.0,74228587.0,740.0,18.0,Commercial Banks
2021-05-23,Everest Insurance Co. Ltd.,EIC,204,749.0,727.0,740.0,20670.0,15296735.0,738.0,2.0,Non Life Insurance
2021-05-23,Everest Insurance Co. Ltd. Promoter Share,,46,394.0,373.0,390.0,16066.0,6162083.0,376.0,14.0,
2021-05-23,Excel Development Bank Ltd.,EDBL,582,671.0,608.0,671.0,93028.0,60564594.0,632.0,39.0,Development Banks
2021-05-23,First Micro Finance Development Bank Ltd.,FMDBL,523,872.0,839.0,856.0,51493.0,44159975.0,857.0,-1.0,Microfinance
2021-05-23,Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,156,2974.0,2890.0,2928.0,10556.0,31073647.0,2947.0,-19.0,Microfinance
2021-05-23,Ganapati Microfinance Bittiya Sanstha Limited,GMFBS,102,1845.0,1800.0,1818.0,5898.0,10793292.0,1837.0,-19.0,Microfinance
2021-05-23,Garima Bikas Bank Limited,GBBL,2245,409.0,363.0,406.0,564540.0,222418246.0,374.0,32.0,Development Banks
2021-05-23,General Insurance Company Nepal Ltd,GIC,348,725.0,699.0,715.0,11900.0,8473147.0,714.0,1.0,Non Life Insurance
2021-05-23,Ghalemdi Hydro Limited,GHL,286,234.0,211.0,229.0,33090.0,7398855.0,219.0,10.0,Hydro Power
2021-05-23,Global IME Bank Limited,GBIME,1759,446.0,429.0,446.0,254827.0,112469683.0,440.0,6.0,Commercial Banks
2021-05-23,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,194,2840.0,2780.0,2832.0,11375.0,31923164.0,2845.0,-13.0,Microfinance
2021-05-23,Global IME Samunnat Scheme-1,GIMES1,21,16.9,16.55,16.79,157820.0,2647608.0,16.59,0.2,Mutual Fund
2021-05-23,Goodwill Finance Co. Ltd.,GFCL,846,435.0,380.0,435.0,178565.0,74302687.0,396.0,39.0,Finance
2021-05-23,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,608,1350.0,1297.0,1331.0,60888.0,81114722.0,1338.0,-7.0,Microfinance
2021-05-23,Green Development Bank Ltd.,GRDBL,494,275.0,245.0,275.0,118277.0,31445004.0,250.0,25.0,Development Banks
2021-05-23,GreenLife Hydropower Limited,GLH,670,395.0,380.0,391.0,20910.0,8136005.0,388.0,3.0,Hydro Power
2021-05-23,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,515,369.0,316.0,353.0,161946.0,55791731.0,336.0,17.0,Finance
2021-05-23,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,138,2197.0,2080.0,2104.0,6194.0,13228339.0,2155.0,-51.0,Microfinance
2021-05-23,Gurans Life Insurance Company Ltd.,GLICL,454,828.0,773.0,814.0,87421.0,70992310.0,802.0,12.0,Life Insurance
2021-05-23,Gurkhas Finance Ltd.,GUFL,1217,709.0,621.0,690.0,171043.0,116970131.0,645.0,45.0,Finance
2021-05-23,Himal Dolakha Hydropower Company Limited,HDHPC,1231,228.0,207.0,221.0,400623.0,87990425.0,217.0,4.0,Hydro Power
2021-05-23,Himalaya Urja Bikas Company Limited,HURJA,296,406.0,380.0,386.0,44601.0,17480112.0,387.0,-1.0,Hydro Power
2021-05-23,Himalayan Distillery Limited,HDL,427,4580.0,4467.0,4514.0,24809.0,111953299.0,4508.0,6.0,Manufacturing And Processing
