,Stock Name,Stock Symbol,Sector
0,10 % NMB DEBENTURE 2085,NMBD2085,Corporate Debenture
1,10% Himalayan Bank Debenture 2083,HBLD83,Corporate Debenture
2,10% Laxmi Bank Debenture 2086,LBLD86,Corporate Debenture
3,10% Nabil Debenture 2082,NBLD82,Corporate Debenture
4,10% Nepal SBI Bank Debenture 2086,SBIBD86,Corporate Debenture
5,10% Prabhu Bank Debenture 2084,PBLD84,Corporate Debenture
6,10% Sunrise Debenture 2080,SRD80,Corporate Debenture
7,10.25% Citizens Bank Debenture 2086,CIZBD86,Corporate Debenture
8,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Corporate Debenture
9,10.25% KBL Debenture 2086,KBLD86,Corporate Debenture
10,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Corporate Debenture
11,10.25% NBBL Debenture 2085,NBBD2085,Corporate Debenture
12,10.25% NIC Asia Debenture 2083/84,NICD83/84,Corporate Debenture
13,10.25% Prabhu Bank Debenture 2086,PBLD86,Corporate Debenture
14,10.25% SBL Debenture 2083,SBLD83,Corporate Debenture
15,10.25% Sunrise Bank Debenture 2083,SRBLD83,Corporate Debenture
16,10.35% Agricultural Bank Debenture 2083,ADBLD83,Corporate Debenture
17,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Corporate Debenture
18,10.50% SBL Debenture 2082,SBLD2082,Corporate Debenture
19,11% NIC Asia Debenture 082/83,NICAD8283,Corporate Debenture
20,12% ICFC Finance Limited Debenture 2083,ICFCD83,Corporate Debenture
21,8% BOK Debenture 2079,BOKD2079,Corporate Debenture
22,8% EBL Debenture 2078,EBLD2078,Corporate Debenture
23,8.5% Nepal Investment Bank Debenture 2084,NIBD84,Corporate Debenture
24,8.5% Sanima Debenture 2087,SBD87,Corporate Debenture
25,8.5% SBL Debenture 2084,SBLD84,Corporate Debenture
26,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Corporate Debenture
27,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance
28,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,AKBSL,Microfinance
29,Agriculture Development Bank Limited,ADBL,Commercial Banks
30,Ajod Insurance Limited,AIL,Non Life Insurance
31,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power
32,Api Power Company Ltd.,API,Hydro Power
33,Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance
34,Arun Kabeli Power Ltd.,AKPL,Hydro Power
35,Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power
36,Arun Vanaspati Udhyog Limited,AVU,Manufacturing And Processing
37,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance
38,Asian Life Insurance Co. Limited,ALICL,Life Insurance
39,Bank of Kathmandu Ltd.,BOKL,Commercial Banks
40,Barun Hydropower Co. Ltd.,BARUN,Hydro Power
41,Best Finance Company Ltd.,BFC,Finance
42,Bhargav Bikash Bank Ltd.,BHBL,Development Banks
43,Birat Shoe Limited,BSL,Manufacturing And Processing
44,Bishal Bazar Company Limited,BBC,Tradings
45,Bottlers Nepal (Balaju) Limited,BNL,Manufacturing And Processing
46,Bottlers Nepal (Terai) Limited,BNT,Manufacturing And Processing
47,Butwal Power Company Limited,BPCL,Hydro Power
48,Butwal Spinning Mills Limited,BSM,Manufacturing And Processing
49,Capital Merchant Bank & Finance Co. Ltd.,CMB,Finance
50,Central Finance Co. Ltd.,CFCL,Finance
51,Century Commercial Bank Ltd.,CCBL,Commercial Banks
52,Chandragiri Hills Limited,CGH,Others
53,Chhimek Laghubitta Bikas Bank Limited,CBBL,Microfinance
54,Chhyangdi Hydropower Ltd.,CHL,Hydro Power
55,Chilime Hydropower Company Limited,CHCL,Hydro Power
56,Citizen Bank International Limited,CZBIL,Commercial Banks
57,Citizens Mutual Fund -1,CMF1,Mutual Fund
58,CITIZENS MUTUAL FUND 2,CMF2,Mutual Fund
59,City Express Finance Co. Limited,CEFL,Finance
60,Civil Bank Ltd,CBL,Commercial Banks
61,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance
62,Corporate Development Bank Limited,CORBL,Development Banks
63,Crystal Finance Ltd.,CFL,Finance
64,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Microfinance
65,Deva Bikas Bank Limited,DBBL,Development Banks
66,Dibyashwori Hydropower Ltd.,DHPL,Hydro Power
67,Everest Bank Limited,EBL,Commercial Banks
68,Everest Bank Limited Con. Pref.,EBLCP,Preferred Stock
69,Everest Insurance Co. Ltd.,EIC,Non Life Insurance
70,Excel Development Bank Ltd.,EDBL,Development Banks
71,First Micro Finance Development Bank Ltd.,FMDBL,Microfinance
72,Fleur Himalayan Limited,FHL,Manufacturing And Processing
73,Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Microfinance
74,Ganapati Microfinance Bittiya Sanstha Limited,GMFBS,Microfinance
75,Gandaki Bikas Bank Limited,GDBL,Development Banks
76,Garima Bikas Bank Limited,GBBL,Development Banks
77,General Insurance Company Nepal Ltd,GIC,Non Life Insurance
78,Ghalemdi Hydro Limited,GHL,Hydro Power
79,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,GGBSL,Microfinance
80,Global IME Bank Limited,GBIME,Commercial Banks
81,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance
82,Global IME Samunnat Scheme-1,GIMES1,Mutual Fund
83,Goodwill Finance Co. Ltd.,GFCL,Finance
84,Gorakhkali Rubber Udhyog Limited,GRU,Manufacturing And Processing
85,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance
86,Green Development Bank Ltd.,GRDBL,Development Banks
87,GreenLife Hydropower Limited,GLH,Hydro Power
88,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Finance
89,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance
90,Gurans Life Insurance Company Ltd.,GLICL,Life Insurance
91,Gurkhas Finance Ltd.,GUFL,Finance
92,Hamro Bikas Bank Ltd.,HAMRO,Development Banks
93,Harisiddhi Brick And Tiles Limited,HBT,Manufacturing And Processing
94,Hathway Finance Company Limited,HATH,Finance
95,Himal Dolakha Hydropower Company Limited,HDHPC,Hydro Power
96,Himalaya Urja Bikas Company Limited,HURJA,Hydro Power
97,Himalayan Bank Limited,HBL,Commercial Banks
98,Himalayan Distillery Limited,HDL,Manufacturing And Processing
99,Himalayan Finance Limited (Bittiya Sanstha),HFL,Finance
100,Himalayan General Insurance Co. Ltd,HGI,Non Life Insurance
